battery_id,slope,intercept,min_cycle,max_cycle,start_soh,end_soh,degradation_speed,slope_corrected
B0005,-0.20697275537138407,101.66074396040939,0,167,100.0,69.34884167276275,0.20697275537138407,-0.20697275537138407
B0006,-0.24594749603695482,95.96365820391759,0,167,100.0,56.689285192545555,0.24594749603695482,-0.24594749603695482
B0007,-0.17216519948367237,101.08200550419996,0,167,100.0,74.05692816217145,0.17216519948367237,-0.17216519948367237
B0018,-0.220694971170395,97.48025175263005,0,131,100.0,72.29370201580872,0.220694971170395,-0.220694971170395
B0025,-0.1332572770472452,99.6825458176675,0,27,99.89331452015166,95.60868603224243,0.1332572770472452,-0.1332572770472452
B0026,-0.7396507788670091,90.49998095448377,0,27,99.81958076820808,76.31798123794677,0.7396507788670091,-0.7396507788670091
B0027,-0.07721668417129281,99.35195940124574,0,27,100.0,97.08139516350145,0.07721668417129281,-0.07721668417129281
B0028,-0.1544853324954122,99.77943864590445,0,27,99.99453954159799,95.14901566396354,0.1544853324954122,-0.1544853324954122
B0029,-0.09464555625397159,93.03918330092968,0,39,92.02071998435522,87.38975209798645,0.09464555625397159,-0.09464555625397159
B0030,-0.13788080001784603,94.2442449837313,0,39,92.95647486935653,87.7200262760103,0.13788080001784603,-0.13788080001784603
B0031,0.0,90.93311452425185,0,39,90.93311452425185,90.93311452425185,0.0,0.0
B0032,-0.06282609412920172,90.71196179132748,0,39,90.01242586881956,86.36602381635554,0.06282609412920172,-0.06282609412920172
B0033,-0.09554964084494984,41.63178071578595,1,196,36.57923754266503,21.191206064570377,0.09554964084494984,-0.09554964084494984
B0034,-6.047796346651387e-33,40.97829119716716,0,196,40.97829119716717,40.97829119716717,6.047796346651387e-33,-6.047796346651387e-33
B0036,6.047796346651387e-33,40.99660364744255,0,196,40.99660364744254,40.99660364744254,0.0,0.0
B0038,-1.4565806478073918e-32,50.270749943605104,0,46,50.27074994360511,50.27074994360511,1.4565806478073918e-32,-1.4565806478073918e-32
B0039,-0.06107859010984694,25.31320863220504,1,46,26.698660476532954,23.29374235916676,0.06107859010984694,-0.06107859010984694
B0040,-0.07431119406100323,39.93723945978605,0,46,38.83578242781517,24.554822289158366,0.07431119406100323,-0.07431119406100323
B0041,-1.0772152521175353,136.37233982286324,42,66,100.0,68.81053348293472,1.0772152521175353,-1.0772152521175353
B0042,-0.18006859072355774,99.2131429318474,0,111,99.8407154724496,77.24469296139166,0.18006859072355774,-0.18006859072355774
B0043,-0.14631958326780414,95.59132501105051,0,111,100.0,74.50070497479263,0.14631958326780414,-0.14631958326780414
B0044,-0.15295767021833617,94.57985915616864,0,111,100.0,74.03537095051598,0.15295767021833617,-0.15295767021833617
B0045,-0.34357994877275155,76.95981993934198,0,71,100.0,56.09604245132347,0.34357994877275155,-0.34357994877275155
B0046,-0.3577378319133908,85.73644917539201,0,71,100.0,65.0205799700644,0.3577378319133908,-0.3577378319133908
B0047,-0.3568208147832918,86.1232491858444,0,71,100.0,66.05591652859539,0.3568208147832918,-0.3568208147832918
B0048,-0.31238996759578025,87.66500867877227,0,71,100.0,69.82422188804827,0.31238996759578025,-0.31238996759578025
B0049,-0.3107141448203528,37.61112507148902,0,24,36.08664511147571,29.06650181443299,0.3107141448203528,-0.3107141448203528
B0050,-0.5474394845897415,35.04897910340435,0,18,32.69303417865206,21.729580929234295,0.5474394845897415,-0.5474394845897415
B0051,0.0,27.60654173953881,0,24,27.60654173953881,27.60654173953881,0.0,0.0
B0053,-0.17659352904995254,92.67479874479586,0,54,92.64075842474394,84.92819240933878,0.17659352904995254,-0.17659352904995254
B0054,1.850027141069634e-32,63.429676795928536,0,101,63.429676795928515,63.429676795928515,0.0,0.0
B0055,7.994161357013568e-35,60.53523303334917,0,101,60.535233033349186,60.535233033349186,0.0,0.0
B0056,-3.997080678506784e-35,58.412978455113084,0,101,58.41297845511308,58.41297845511308,3.997080678506784e-35,-3.997080678506784e-35
